MID;URL
M85900228;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:078
M85900227;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:077
M85900226;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:076
M85900224;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:075
M85900223;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:073
M85900215;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:072
M85896376;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:071
M85896375;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:070
M85896372;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:068
M85896369;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:067
M85895742;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:066
M86267747;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:065
M85895741;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:064
M85895740;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:063
M85895739;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:060
M85895737;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:057b
M85895734;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:057a
M85895732;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:057
M86266286;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:056
M86266281;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:055
M85895730;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:053
M85895728;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:051
M85895726;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:050
M85895723;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:049
M85895720;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:048
M85895719;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:047
M85895718;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:045
M85895716;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:043
M85895714;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:041
M85895711;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:039
M85894703;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:038
M85894702;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:037
M85894700;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:036
M85894699;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:035
M85894695;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:033
M85894693;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:032
M85894692;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:031
M85894690;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:030
M85894688;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:029
M85894686;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:028
M85894684;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:027
M85894682;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:026
M85894681;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:025
M85894679;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:024
M85894677;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:023
M85894674;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:022
M85894673;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:021
M85877847;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:020
M85877845;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:019
M85877843;https://resolver.kb.nl/resolve?urn=EuropeanaTravel:131H26:018
